Column1,Actual,Forecasted Value,Series 3
Wk  239,3336.285714,3078.625594,2914.514286
Wk  240,3363.428571,2960.215976,2914.614286
Wk  241,3411,3227.014393,2914.714286
Wk  242,3406.428571,3326.738663,2914.814286
Wk  243,3403.714286,3282.201634,2914.914286
Wk  244,3387.857143,3730.394426,2915.014286
Wk  245,3385,3769.059719,2915.114286
Wk  246,3344.285714,3270.239943,2915.214286
Wk  247,3352.571429,3209.820559,2915.314286
Wk  248,3369.571429,3253.002011,2915.414286
Wk  249,3427.285714,3303.909447,2915.514286
Wk  250,3488.285714,3195.599833,2915.614286
Wk  251,3566.428571,3663.077562,2915.714286
Wk  252,3536.571429,3582.262103,2915.814286
Wk  253,3490.285714,3293.908618,2915.914286
Wk  254,3462.714286,3352.358743,2916.014286
Wk  255,3442.714286,3605.080763,2916.114286
Wk  256,3431.571429,3710.078554,2916.214286
Wk  257,3423.571429,3592.154577,2916.314286
Wk  258,3310,3564.886881,2916.414286
Wk  259,3096.714286,3330.625758,2916.514286
Wk  260,2909.142857,3102.96217,2916.614286
Wk  261,2778.571429,3210.737882,2916.714286
Wk  262,2615.714286,3492.027754,2916.814286
Wk  263,2419.714286,3503.6057,2916.914286
Wk  264,2166.857143,2809.531382,2917.014286
Wk  265,1991.428571,2250.822926,2917.114286
Wk  266,1930.285714,2068.069978,2917.214286
Wk  267,1976.142857,2069.51873,2917.314286
Wk  268,2043.285714,2043.313906,2917.414286
Wk  269,2116.428571,2118.732483,2917.514286
Wk  270,2171.142857,1930.480355,2917.614286
Wk  271,2253.714286,1667.323917,2917.714286
Wk  272,2429.285714,1807.970614,2917.814286
Wk  273,2715.571429,2265.02985,2917.914286
Wk  274,2886.428571,2493.925405,2918.014286
Wk  275,2910.285714,2531.816295,2918.114286
Wk  276,2920.285714,2580.788627,2918.214286
Wk  277,2872.714286,2608.095028,2918.314286
Wk  278,2861,2875.510897,2918.414286
Wk  279,2823.142857,3485.567801,2918.514286
Wk  280,2808.571429,3383.022391,2918.614286
Wk  281,2835.571429,2820.173082,2918.714286
Wk  282,2836.142857,2592.212617,2918.814286
Wk  283,2857.285714,2360.286671,2918.914286
Wk  284,2913.142857,2475.721094,2919.014286
Wk  285,2975.285714,2673.322976,2919.114286
Wk  286,3003.142857,3408.698618,2919.214286
Wk  287,3008.428571,3499.469263,2919.314286
Wk  288,2965.285714,2881.807333,2919.414286
Wk  289,2921.571429,2764.965476,2919.514286
Wk  290,2918,2707.529247,2919.614286
Wk  291,2950.428571,2847.70052,2919.714286
Wk  292,2951,2866.269885,2919.814286
Wk  293,2950,3421.294244,2919.914286
Wk  294,2953.714286,3266.03405,2920.014286
Wk  295,2987.571429,2637.747552,2920.114286
Wk  296,3064.428571,2725.776581,2920.214286
Wk  297,3049.714286,2843.53687,2920.314286
Wk  298,3009.571429,2878.821824,2920.414286
Wk  299,3006.857143,2881.759628,2920.514286
Wk  300,2995.857143,3487.660174,2920.614286
Wk  301,2992.142857,3499.870007,2920.714286
Wk  302,2970.142857,3012.266478,2920.814286
Wk  303,2969.857143,2701.582569,2920.914286
Wk  304,2999,2656.425466,2921.014286
Wk  305,3062,2818.114894,2921.114286
Wk  306,3116.285714,2811.678316,2921.214286
Wk  307,3137.142857,3435.506587,2921.314286
Wk  308,3020,3394.385976,2921.414286
Wk  309,2886.285714,3024.90512,2921.514286
Wk  310,2806.571429,2896.952132,2921.614286
Wk  311,2803.714286,3022.580087,2921.714286
Wk  312,2789.285714,3126.475727,2921.814286
Wk  313,2659.714286,2836.465333,2921.914286
Wk  314,2586.142857,2784.833775,2922.014286
Wk  315,2612.428571,2596.215747,2922.114286
Wk  316,2701.571429,2502.202116,2922.214286
Wk  317,2770.714286,2744.396843,2922.314286
Wk  318,2757,2801.756033,2922.414286
Wk  319,2756.142857,2444.992273,2922.514286
Wk  320,2857.142857,2410.951668,2922.614286
Wk  321,2952.428571,2905.972656,2922.714286
Wk  322,3087.571429,3075.657407,2922.814286
Wk  323,3170.571429,2895.518636,2922.914286
Wk  324,3173.714286,2780.232828,2923.014286
Wk  325,3224.571429,2916.233664,2923.114286
Wk  326,3247,3032.585928,2923.214286
Wk  327,3256.428571,3093.509359,2923.314286
Wk  328,3295.428571,3727.887162,2923.414286
Wk  329,3312.571429,3628.94333,2923.514286
Wk  330,3333.857143,3075.077338,2923.614286
Wk  331,3368.142857,3070.742753,2923.714286
Wk  332,3386.857143,3093.20741,2923.814286
Wk  333,3406.142857,3149.569648,2923.914286
Wk  334,3450.714286,3310.396875,2924.014286
Wk  335,3437.428571,3870.921887,2924.114286
Wk  336,3427.428571,3783.772478,2924.214286
Wk  337,3409.857143,3276.989422,2924.314286
Wk  338,3411,3216.155453,2924.414286
Wk  339,3391.285714,3243.678576,2924.514286
Wk  340,3378.142857,3364.617019,2924.614286
Wk  341,3354.857143,3283.492077,2924.714286
Wk  342,3349.428571,3807.664932,2924.814286
Wk  343,3367.714286,3693.502627,2924.914286
Wk  344,3378.571429,3247.416273,2925.014286
Wk  345,3356,3109.512633,2925.114286
Wk  346,3348.142857,3144.407894,2925.214286
Wk  347,3362.714286,3239.358425,2925.314286
Wk  348,3388.857143,3249.898439,2925.414286
Wk  349,3412.714286,3885.027093,2925.514286
Wk  350,3369.428571,3732.46338,2925.614286
Wk  351,3322.857143,3146.520924,2925.714286
Wk  352,3314.142857,3068.831223,2925.814286
Wk  353,3249.571429,3225.199081,2925.914286
Wk  354,3306.857143,3384.136212,2926.014286
Wk  355,3268,3339.476442,2926.114286
Wk  356,3173.285714,3667.204219,2926.214286
Wk  357,3022.428571,3466.772002,2926.314286
Wk  358,3004.142857,3008.640844,2926.414286
Wk  359,2941.857143,2795.610937,2926.514286
Wk  360,2925,3371.336958,2926.614286
Wk  361,2785.714286,3126.488599,2926.714286
Wk  362,2742.142857,2721.088437,2926.814286
Wk  363,2821.714286,2835.617966,2926.914286
Wk  364,3017,3150.008871,2927.014286
Wk  365,3103.142857,2621.26925,2927.114286
Wk  366,3204,2510.664551,2927.214286
Wk  367,3293,2671.864781,2927.314286
Wk  368,3345.428571,2901.555202,2927.414286
Wk  369,3403.571429,3228.832277,2927.514286
Wk  370,3395.571429,3913.682316,2927.614286
Wk  371,3385.428571,3864.555371,2927.714286
Wk  372,3384.857143,3311.418013,2927.814286
Wk  373,3371.857143,3107.936454,2927.914286
Wk  374,3369.142857,3078.605152,2928.014286
Wk  375,3348.857143,3234.362678,2928.114286
Wk  376,3348.285714,3248.306,2928.214286
Wk  377,3332.428571,3865.810152,2928.314286
Wk  378,3330.571429,3835.284542,2928.414286
Wk  379,3270.714286,3236.83604,2928.514286
Wk  380,3265.428571,3058.330393,2928.614286
Wk  381,3268.142857,2971.930899,2928.714286
Wk  382,3314.714286,3193.472488,2928.814286
Wk  383,3366,3158.261595,2928.914286
Wk  384,3384.857143,3788.22057,2929.014286
Wk  385,3236.428571,3551.944971,2929.114286
Wk  386,3115.857143,3163.787163,2929.214286
Wk  387,3097.142857,3062.665491,2929.314286
Wk  388,3044.571429,3103.997969,2929.414286
Wk  389,2927.428571,3162.62,2929.514286
Wk  390,2816.714286,3081.452647,2929.614286
Wk  391,2755.285714,3516.75,2929.714286
Wk  392,2850.428571,3473.68,2929.814286
Wk  393,2996.714286,3085.075459,2929.914286
Wk  394,3001.571429,2995.72,2930.014286
Wk  395,3034,3064.4,2930.114286
Wk  396,3093.571429,3160.54,2930.214286
Wk  397,3090,3119.64,2930.314286
Wk  398,3101.142857,3589.95017,2930.414286
Wk  399,3152.428571,3569.730781,2930.514286
Wk  400,3179.571429,3187.273777,2930.614286
Wk  401,3173.571429,3086.152105,2930.714286
Wk  402,3189.714286,3127.48,2930.814286
Wk  403,3217.285714,3186.1,2930.914286
Wk  404,3257.571429,3104.939262,2931.014286
Wk  405,3240,3540.234485,2931.114286
Wk  406,3205.428571,3497.168177,2931.214286
Wk  407,3176.142857,3108.562074,2931.314286
Wk  408,3183.571429,3019.207026,2931.414286
Wk  409,3186,3087.891329,2931.514286
Wk  410,3048.571429,3184.029084,2931.614286
Wk  411,2767,3143.12,2931.714286
Wk  412,3650,3613.436785,2931.814286
Wk  413,3651,3593.217396,2931.914286
Wk  414,3075,3210.760392,2932.014286
Wk  415,3087,3109.63872,2932.114286
Wk  416,2038,3150.97,2932.214286
